message ,label
add support end buffer case user can type filename say bogus argument uemacs start end buffer can vim example ,neutral
compile compile rename avoid conflict modify makefile enable appropriate define compile ,neutral
fix build patch fix outofbox build use uname detect underlie fix define ,good
make function private function use mark static make private ,good
uemac add more option usage output add usage output fix following warning mainc function warn may use uninitialized function ,neutral
get rid duplicate export type call name type export edefh ,neutral
kill unused lckhello function patch kill unused lckhello function get rid follow warning lockc160 warn define use ,good
fix return statement return statement function remove superfluous use parenthesis ,good
clean program executable patch fix makefile clean target clean program executable ,good
uemac remove garbage tree patch remove bunch ancient makefile script source tree need can look git repository history ,good
uemac remove unused function fnclabel implementation function do moment cleanup bit code remove function ,neutral
uemac remove more garbage emacs file tree ,neutral
get rid call macro subprogram seem will reason leave macro macro define reach path test macro ,neutral
add version function output version string information ,bad
fix tiny typo ,good
move function declaration edefh ,neutral
convert struct whblock struct ,neutral
get rid bitmap typedef ,good
uemac remove declaration struct video ,neutral
convert typedef struct vdesc struct ,neutral
kill dead code patch kill code ,good
move structure line function own header file ,neutral
move constant constant use keep ,good
add lineh namesc fix compiling error get follow error compile error undeclared function undeclared function make error look namesc need lineh function declaration ,good
move variable source file use ,neutral
convert struct magic ,good
fix uninitialized struct warning fix following warning bufferc function bufferc45 warn �bp� may use uninitialized function ,neutral
move constant constant neededuse file define ,neutral
move constant constant use reason ,good
convert struct rmc struct ,neutral
fix warning fix following warning function warn ignore return value declare attribute add module die function add wrapperc module wrapper function original mkstemp function module code base git linux sparse code ,good
make magic variable private module ,neutral
add wrapper function malloc check return pointer die fail allocate memory use new function windowc more place will convert use latter ,neutral
use introduce function ,neutral
show nonprintable character want see difference space nbsp consider control character show such printable ,good
respect ldflag link ulm@gentooorg ,bad
add option output usage improve word above option ,good
force screen redraw open function reinitialize terminal sequence most sane termcap entry empty seem real control sequence clear reset tell screen garbage need redrawn make tcapkclose match terminal exit should stop play game least improve situation bit ,good
remove crazy keyboard openclose call seem old do mode have keyboard translation insert floppy question open file do normal file open insane openclose tty file open possible tty initexit sequence would mess file readwrite message ,good
keyboard openclose shell invocation sure should do whole keyboard right thing end ttopenttclose make ttkopenttkclose seem right thing ,neutral
make uemacs build see ulm@gentooorg ,neutral
show line single helper function byte time let see hard show utf8 character ,neutral
add gitignore file ,good
add stub code use internal name ,neutral
add cmake base build system ,neutral
sketch ninja manifest lexer ,bad
hack dump ninja input file token bring more infrastructure will rip move ,bad
cmake change binary library end consistent location ,bad
cmake add base testing support target ,bad
lexer token printing add basic test ,neutral
unittest import googlet llvm remove rawostream support available copy llvm ,neutral
unittest add c++ unittest use ,good
test integrate unit test config ,neutral
basic ninjalexer unite ,bad
add support lexe newline token ,good
add support lexe indentation token manifest use indentation manage scope model explicit token ,good
add lexe support identifier keyword actual lexer use context dependent way will need context switching mechanism string present rhs variable assignment token base ill bring parsing need ,neutral
command split command library command line tool implementation ,bad
move lexer �ninja lex� ,good
basic structure callback base ninja parser ,neutral
hide parser implementation ,good
stub parsing infrastructure ,neutral
fix command line test ,good
add simple caret style diagnostic ,good
hide parserimpl namespace guarantee compiler can rewrite ,neutral
parse default decl ,good
parse variable binding incomplete will need put lexer mode preserve whitespace start ,good
start parse parameterize ,bad
improve lexing identifier string ,neutral
add support parse build decl specifier ,neutral
tidy fix bug set result build decl ,good
add support parse variable binding param split separate perdecltype action may want relax actual client parser ,bad
add parseonly action perf timing ,neutral
add lexonly action perf timing ,neutral
simplify parser logic ,good
add support lexe string ninja manifest language context sensitive real string token type support give lexer stringmode can set client parser move use token can clean identifier token identifier ,neutral
factor common binding parsing code ,neutral
use variable string mode parsing appropriate ,neutral
fix lexing special character string mode ,neutral
fix parsing empty assignment ,good
use path string mode parsing appropriate ,neutral
tidy diagnostic string add more testing coverage ,good
fix identifier lexing parsing move string ,bad
fix pool rule name parse identifier path string ,bad
parse rule name build decl identifier ,neutral
start sketch manifest loader implementation ,neutral
add basic parse action structure blend manifest loader impl ,neutral
toplevel binding load ,neutral
ninjacommand sort binding manifest dump write stderr consistency other command ,good
fix range ,good
add initial cut expr string expansion more testing come will want factor real attempt make make performant ,neutral
ninjacommand factor ,good
error diagnostic machinery ,neutral
diagnose invalid variable name expr ,neutral
manifest hide datum member ,good
write output binding quote make syntax obvious try write binding cstyle syntax ninja style ,neutral
ninjacommand fix ,good
add initial rule loading ,good
propagate start token enddecl action use postprocessing diagnostic cheap pass force client track ,neutral
diagnose miss assignment ,bad
fix diagnostic present default ,neutral
cmake add header file ,good
add internal header file ,good
add support remain rule parameter expand build parameter dictionary hope could parse would little tricky ,neutral
ensure binding overwrite prior entry ,neutral
add support loading pool ,neutral
add structure node set default target list use loader ,bad
add command structure manifest use loader ,neutral
add builtin phony rule ,good
add support build decl loading ,neutral
add maximum error count ,good
lexer fix bug allow identifier part old identifier handle move context sensitive string lexing ,neutral
lexer fix handling start string ,good
space follow path string ,good
change prep new nonstre specific ,bad
lexer fix improve handling honor many more place ambivalent implementation may well move phase consumption low level handle sequence ,bad
add miss test case previous commit ,good
add identifier specific lexing mode ignore keyword design language ,neutral
allow blank line parameterize decl binding ,neutral
use parsing appropriate ,neutral
add support default decl ,good
escape output string ,good
evaluate binding build decl ,neutral
remove fixme need fix possible end variable path string trail delay escape handling consume subsequent character ,neutral
add initial support include stack use ,bad
change loader provide current filename file read ,bad
refactor readfilecontent return error ,neutral
change loadmanif chdir contain directory input hack include statement can use relative path seem specify include statement relative include file broken ,bad
add initial support handling proper binding scoping ,neutral
add core library rudimentary dependency graph node command class connection ability look create node command command lambda action early day start skeletal structure ,bad
node command number onebase zerobase ,bad
ninjacommand fix bug chdir logic update input path ,bad
diagnose miss depth assignment ,neutral
unittest remove redundant maincpp file guess forgot remove go skip have library make common code go follow style need ,good
include errno file open error make sure close file ,bad
update include stack track active binding set ,bad
add support enter new binding scope ,bad
core add buildengine implementation initial importing prototype engine code need clean abstraction ,good
add simple test buildengine ,good
command add computation implement build silly way compute great way test build engine use dynamic input dependency build wide range side change parameter ,neutral
diagnose empty inputoutput path ,good
add add partial file generate ,neutral
add generator ,good
match multiple key updatesh ,neutral
update ,neutral
remove duplicate try try ,good
miss extraneous ,neutral
add fix updating script ,bad
add php replace awk magic bash ,good
change default command httpd ,good
add license expat ,good
use host allow mirror redirect prevent us2phpnet get traffic ,good
add compile option withmysqli version ,neutral
add support compile flag version ,neutral
simplify apache image use package ,neutral
update version ,good
update version fix ,good
add more tag thank ,good
remove volume definition apache variant make sense general case thank ,bad
add openssl option ,good
add option ,good
add ,neutral
add ,neutral
add ,neutral
add ,neutral
add ,neutral
add ,neutral
drop old php fail try build ,good
bump fix fix ,good
bump fix dockerlibrary#23 fix dockerlibrary#23 ,good
bump fix fix ,good
minor version bump ,neutral
add additional module include ,good
add additional module version ,good
update version ,good
gzip exist flag use zlib ,good
remove buildconf dockerfile use release tarball pregenerate configure script ,bad
refactor switch base result dramatic reduction image size console docker image php repository image create virtual size hour minute 19a5113df69a minute minute minute hour old console docker image php repository image create virtual size e760b9bd2c6c day day day day dab86418397c day day ,bad
add cacertificate ,good
add ,good
keep source make clean ,neutral
add new script magic example follow make wordpress work run ,bad
make root obvious fix directoryindex php ,neutral
add making miss ,good
add fpm variant ,good
update cf fix thank @thajeztah ,neutral
failure bad ,bad
add stub ,good
fix listen directive ,good
load opcache zendextension ,good
impossible listen replace ,bad
run updatesh ,neutral
run update fix fpm version ,good
bump ,bad
update variant ,neutral
add pid cleaner case container kill ,neutral
switch pgpmitedu ,good
run version bump ,neutral
run updatesh bump ,good
remove index option ,good
update ,bad
make remove more package default remove package recommend suggest instal package package autoinstalle ,good
add libcdev explicit phpize dependency ,good
update ,bad
empty config site folder include ,neutral
consistency ,good
remove ,neutral
run updatesh ,neutral
add initial travisyml ,good
prevent tar preserve file ownership ,good
install file re2c require fix ,neutral
remove file builddep file need ,good
preinstall more extension can instal extension add sqlite3 ,neutral
update ,bad
resilient gpg get ,bad
tell clear environment worker allow php script execute access env var such env var link container see ,good
update php late security update ,bad
add g++ ,neutral
use ini ,neutral
run updatesh fix ,good
update ,bad
switch bz2 several megabyte small download ,bad
add issue add fix review code fix directory version remove gpg ,bad
generate unknown version bump update ,bad
update announce ,bad
upgrade version ,good
update use sudo dist trusty ,neutral
add new script intelligent module enable update invoke script successful extension compilation module determined enable skip remove simple warning php warn module curl load unknown line enable thing ,bad
run updatesh ,neutral
full path load extension ,neutral
rid unneeded variable ,good
update update announcement ,neutral
update php beta announce ,neutral
fix key ,bad
add key list key list ,bad
put docker image section ,neutral
enhance take account change dockerfile file copy dockerfile choose commit hash particular directory ,bad
upgrade php rc1 release phpapache build forget upgrade version folder ,good
